,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,(0.7414329749010667+0j),(0.9180846133559579+0.7749264425139715j),(0.34002224416133553+0.610826866625639j),(0.39274337073494037+0.9501430038520338j),(0.3823302965444857+0.33487144303668026j),(0.7099624347671915+0.5087345785067808j),(0.6891544191614833+0.4319891182038801j),(0.059040646946242004+0.0996246936919094j),(0.8177992030790799+0.37015977185573545j),(0.5797326843734711+0.3797181181495196j),(0.25952854677819726+0.823253614762037j),(0.7361075017944018+0.5887759849009984j),(0.23143447167264586+0.5797222248757855j),(0.5583266305148517+0.627079650314625j),(0.3098051467493673+0.5930388388627874j),(0.11218334765273108+0.9436618967151266j),(0.5065837579799738+0.6578641059661242j),(0.18119608262006515+0.5459965831650553j),(0.302302129440727+0.8624763088256372j),(0.5432927804731154+0.21711067822718944j),(0.7796543105404593+0.9029802445004445j),(0.5825149726264238+0.7538534382206855j),(0.9062800439452998+0.13771931021364836j),(0.7496818617438834+0.08768054667898117j),(0.651971202849046+0.012638136945825718j),(0.5577081531197766+0.17258346456407847j),(0.931373120890974+0.6080629745944389j),(0.6813600043842111+0.2318655484397406j),(0.380319118579038+0.06956294708256705j),(0.5856782796364758+0.322805486024886j),(0.4872916559235898+0.547995224265828j),(0.12861167252775674+0.22926542834155916j),(0.05715820399369631+0.9234260706981259j),(0.7767633263054914+0.5127166508560573j),(0.49033550151449823+0.5672369084105788j),(0.6347050115023175+0.9193595932853714j),(0.5853826461105028+0.2314546554332113j),(0.875012646502861+0.6740751240541538j),(0.4357897287348452+0.895248895299878j),(0.8062301276145006+0.6490206716776816j),(0.7748007874983098+0.4850833007157134j),(0.19688986051895052+0.9731096816416938j),(0.8365823974034294+0.16315880570652463j),(0.6769325943364696+0.5332606587178386j),(0.276391949379039+0.5502494893431848j),(0.3505998762052138+0.7565909597189456j),(0.3014229720189141+0.13299264904547226j),(0.9491892263246784+0.3433981405899549j),(0.7003219400239962+0.6105266247196814j),(0.8713932587090268+0.6626898153865965j)
1,(0.9180846133559579-0.7749264425139715j),(0.7371231294720083+0j),(0.14604013545875005+0.8054474277835333j),(0.8369114081460817+0.30777318588908775j),(0.2190590593509999+0.6053455975753204j),(0.3540843468797372+0.35708975409597277j),(0.9368452961178484+0.9338569364389553j),(0.45469357761634444+0.35646533180528683j),(0.6452924207549973+0.7145327084828682j),(0.7881495033824922+0.3038114432635407j),(0.8854363490848434+0.9020705376602812j),(0.05192629153972994+0.09365889419210494j),(0.028824458706113498+0.797361764092009j),(0.9432074344276036+0.14018447542865964j),(0.3499004536568322+0.8073984988144153j),(0.5485330911170928+0.4928615221388931j),(0.8152289559984807+0.7526655254165189j),(0.6589171284715925+0.3678781387480816j),(0.7825979651461141+0.9888800353346423j),(0.6648488765690171+0.4506554480245585j),(0.19435801280433995+0.6737435514693181j),(0.8587238763151951+0.36098116933385915j),(0.8505956891073103+0.11443089242649329j),(0.14344982513884175+0.3915899856217815j),(0.05264265576094651+0.2404125428124585j),(0.26644948190296935+0.8207298700095085j),(0.440548496579493+0.3996023527263384j),(0.5987605006218685+0.09534741455636053j),(0.3951690290889346+0.9948297843284446j),(0.9961310477564843+0.8658196865853913j),(0.13456506529199552+0.5121098902168876j),(0.7938184904307964+0.062227265878013305j),(0.4573849155894393+0.22171822980327238j),(0.23594014090331616+0.768860826013843j),(0.8786530501839561+0.11326970659034563j),(0.02346306478511928+0.5697314420233849j),(0.1862318641235695+0.8634384094070099j),(0.9620060245696229+0.2901180692845414j),(0.6578224793546033+0.07624923189266497j),(0.5656932116410451+0.48503104449789647j),(0.02683404307897075+0.809742815431131j),(0.7249460268285227+0.9204659027348119j),(0.22676066193835476+0.7096117907298922j),(0.30491741305623854+0.675445498933348j),(0.9782584845587248+0.4687601080091127j),(0.43869592480624864+0.43627633913572905j),(0.39190154981653647+0.8099756861853236j),(0.25277242310491543+0.07795741510519172j),(0.609470029799847+0.702792782478417j),(0.6586033904447149+0.12913582865269935j)
2,(0.34002224416133553-0.610826866625639j),(0.14604013545875005-0.8054474277835333j),(0.06060033281736965+0j),(0.10268851264433354+0.1696987164823035j),(0.3480335956294913+0.9792312221431475j),(0.5522140219162183+0.48857501937301184j),(0.9859588513531662+0.1095471503511185j),(0.3380206756753179+0.5094733504755268j),(0.03726422406101637+0.7763031546752334j),(0.63371993210737+0.24509601424214456j),(0.028508509680883476+0.22246863647995097j),(0.5814701044707512+0.02031208416590702j),(0.937636257960628+0.08275781966335294j),(0.7237531894898198+0.3538271487242829j),(0.9318646877464011+0.22270503999075986j),(0.07120706679748412+0.5144321812807678j),(0.16875180409498836+0.27697720379293245j),(0.2930113099492273+0.1370931280173977j),(0.40778928850465623+0.975449429942316j),(0.8849346327729297+0.4409972059331133j),(0.8129683788007919+0.8136636429330922j),(0.6789062885517367+0.4889739079013785j),(0.03780382580516828+0.804153596167103j),(0.24682505530904641+0.9412246834503605j),(0.815681782531174+0.6184748840025778j),(0.7606643395363325+0.8323571479928319j),(0.8499060532255481+0.643310590136313j),(0.4300713217485673+0.13962291035149366j),(0.915917218103002+0.5522668490729277j),(0.5521310956821966+0.797619304589656j),(0.27550250838324397+0.3849420558351485j),(0.4300665620910894+0.8393300437319569j),(0.38417973731585753+0.008173366954417616j),(0.624798805993476+0.1189968263788237j),(0.7004758185325497+0.9054337164000739j),(0.7061288210850534+0.4214188515508054j),(0.7902348332773181+0.2718432147494617j),(0.3437094753265558+0.5081989764198286j),(0.09353889337473087+0.12800423160418573j),(0.23577597728933042+0.11713972455433475j),(0.7016199276706958+0.16518166213772723j),(0.6833743146438276+0.43576087119531426j),(0.29023351984740564+0.8436064534462201j),(0.8821357384912563+0.2072560034205203j),(0.5385719868036649+0.7413786846807816j),(0.4815214254937351+0.552197118807613j),(0.7639076300053376+0.8098044704028418j),(0.8408577047844299+0.95015156943164j),(0.024116658431697302+0.8292994815586405j),(0.26675660826813685+0.2201988640789062j)
3,(0.39274337073494037-0.9501430038520338j),(0.8369114081460817-0.30777318588908775j),(0.10268851264433354-0.1696987164823035j),(0.7377868957971108+0j),(0.09648073491477849+0.6413910807372758j),(0.16108057921664076+0.2839363592975226j),(0.3149767250566107+0.5610624839314415j),(0.01634533935065874+0.12295245637366548j),(0.5695383905124671+0.184138021541966j),(0.306919877241436+0.9638412029802453j),(0.4625194220835015+0.8786459934924892j),(0.6914909403843004+0.9612502241356033j),(0.04038460376616382+0.21439331373582293j),(0.2381257651662696+0.3224309971886007j),(0.25807286258760265+0.36230900321373294j),(0.3360172433603479+0.14734132559287905j),(0.45481182120455044+0.6963279748608907j),(0.2132604725497811+0.9870336419802982j),(0.5830800011745838+0.11750983629266021j),(0.8603133044574207+0.22249978767145928j),(0.17046988468802393+0.26086460886954266j),(0.07860734300017602+0.17125963172461556j),(0.5524538131691008+0.3003231621335357j),(0.061235083706374094+0.011849298995082136j),(0.4078901139044083+0.09386342986099716j),(0.49062476658843635+0.027962715139903338j),(0.6060444290332261+0.2601568319100904j),(0.8286640933188748+0.027903323882419118j),(0.9451459892555452+0.3075463267038765j),(0.8335122325187222+0.14286332891037035j),(0.06568414875813933+0.4288189030988313j),(0.981938857595847+0.9093499551904854j),(0.23980467101104774+0.9497558362600197j),(0.2728160577079555+0.48256156337660294j),(0.7193696555513444+0.6172378182937254j),(0.6723412789517683+0.019463802675959485j),(0.3828628229868589+0.6862295108409091j),(0.42684220990631816+0.6605950037768097j),(0.6784151110936189+0.668465395287157j),(0.6718659722175756+0.045080411004540855j),(0.3609938288147442+0.28494480233920805j),(0.8272965459549972+0.6693225667175764j),(0.7086685446701138+0.315487000754919j),(0.7164844768045121+0.4182754678560374j),(0.4472761714476312+0.025443617829796428j),(0.7929261768871447+0.5481124108723172j),(0.8238858927123476+0.9404345628847449j),(0.7499006639969237+0.9233290174616451j),(0.14585921777026445+0.8645783434414686j),(0.03265573588703796+0.3023520586191062j)
4,(0.3823302965444857-0.33487144303668026j),(0.2190590593509999-0.6053455975753204j),(0.3480335956294913-0.9792312221431475j),(0.09648073491477849-0.6413910807372758j),(0.7233643762591737+0j),(0.2005396810685225+0.4162705275792933j),(0.18285143949050042+0.39737574302120415j),(0.23705013614338466+0.38515491786570066j),(0.41797047366043916+0.4642993728743954j),(0.1810821436372746+0.530348493245348j),(0.4926012718835523+0.3428880326378607j),(0.7666021791951612+0.849304236636656j),(0.8597961900778794+0.8395409812396463j),(0.5021002260621439+0.2500291950068164j),(0.8852159410464671+0.39320842272495304j),(0.8154999177973056+0.631689510256567j),(0.5428859823157123+0.6023207978460751j),(0.16026852489407173+0.4515564253484893j),(0.7601286390054404+0.19977875621188923j),(0.06185751577897014+0.34804281944916193j),(0.4579419800527248+0.13026397176041016j),(0.2905722459947241+0.8136940471617271j),(0.5268576619528339+0.47737471349901395j),(0.26056326074530434+0.574984362547908j),(0.9619757394977705+0.1535814120377138j),(0.3851509974118462+0.023950073885121492j),(0.14114013109733958+0.6337867432228441j),(0.7608113821164284+0.986859664518811j),(0.08041345972092928+0.6831241734834622j),(0.7176627953460184+0.7161331499737844j),(0.2168379159333419+0.4337547498501324j),(0.5325699383462369+0.24730825049365035j),(0.9966188600567591+0.36703013039903765j),(0.4416853778058216+0.834951224646721j),(0.33322060499693085+0.003630428216838677j),(0.4989591499456858+0.23085037353688698j),(0.1654466602092256+0.7926461112812436j),(0.210466273901862+0.6226148842734137j),(0.26059290708787985+0.6346395358015131j),(0.23501810717746163+0.4599778713249002j),(0.5850657199375778+0.7179420908051513j),(0.651997177024662+0.2563808242523826j),(0.3760446937784442+0.14749290449182484j),(0.9753012658942526+0.36698111985418314j),(0.039267638965948204+0.9147905393397409j),(0.4634621825731863+0.3856783283474968j),(0.18593668895271198+0.030124890646748725j),(0.605076223083342+0.06635207879832972j),(0.4947338981189825+0.6466731649036985j),(0.9607565781362486+0.8990375180607231j)
5,(0.7099624347671915-0.5087345785067808j),(0.3540843468797372-0.35708975409597277j),(0.5522140219162183-0.48857501937301184j),(0.16108057921664076-0.2839363592975226j),(0.2005396810685225-0.4162705275792933j),(0.09358950999764704+0j),(0.5084812794807864+0.4746470785272213j),(0.8834497864920212+0.6313084427628447j),(0.8296682528006086+0.7250590714906069j),(0.048217357607194034+0.4456060270286355j),(0.1984044649543506+0.4368216475018568j),(0.042792053392724405+0.8696142660264704j),(0.38274447702165604+0.8948931567636196j),(0.9835657138769234+0.022830921938656434j),(0.9938782557733586+0.44526002844923496j),(0.5012379248963855+0.7166258185287758j),(0.6351607352374691+0.36651898912733205j),(0.8003365873683134+0.4771405158145615j),(0.9409854817264255+0.9350868741723579j),(0.9094186943877705+0.3611381987077231j),(0.20085680710494436+0.9637404943670436j),(0.3520095870842065+0.8477874238569165j),(0.8275171738244453+0.5767538497539287j),(0.5901264693774738+0.7407352017131692j),(0.38458525051786074+0.7822031208785438j),(0.602081311749061+0.8163901568128464j),(0.5554108489588943+0.1696893719359941j),(0.4280265339373005+0.207913202147745j),(0.3371668635974159+0.43738648786650947j),(0.2849441913577293+0.7461807428056578j),(0.20671577156775878+0.37984580862868633j),(0.47858921153719436+0.9432270843498508j),(0.8861009801628467+0.07377498162782581j),(0.8496920571684197+0.8669318139430077j),(0.559251337143957+0.7160625344284288j),(0.37933553613542204+0.10887758266740044j),(0.2193804669667958+0.16685330165910417j),(0.6642382295014198+0.007335988617866662j),(0.4469900846045207+0.6351106769804756j),(0.6990719506615906+0.32392677267285774j),(0.9604670109796045+0.9870398641380949j),(0.8884481107789461+0.879393099226552j),(0.2454312879420466+0.14613218447655563j),(0.5543852497512862+0.06500438688760046j),(0.9807843854799008+0.7031980663264155j),(0.0770852914518636+0.8107048011397666j),(0.2665419022296842+0.11727845621471256j),(0.7790301601802839+0.7803887677358706j),(0.9776152602826093+0.11349305150421762j),(0.37181565304004827+0.8716514763712832j)
6,(0.6891544191614833-0.4319891182038801j),(0.9368452961178484-0.9338569364389553j),(0.9859588513531662-0.1095471503511185j),(0.3149767250566107-0.5610624839314415j),(0.18285143949050042-0.39737574302120415j),(0.5084812794807864-0.4746470785272213j),(0.847152830183451+0j),(0.35854401356418286+0.04851553788100349j),(0.6589224888025295+0.8697397670366509j),(0.4917248149691086+0.7234761667346795j),(0.738276935874666+0.21802218866388612j),(0.43571940601558035+0.9466066487091166j),(0.06555113112178179+0.6486639838639618j),(0.4039945948166732+0.5672176342406856j),(0.0643125182329296+0.4382796089642109j),(0.5288719614309916+0.1681745808551286j),(0.4055761631242494+0.6208530232543896j),(0.5074190470245686+0.3822637714941509j),(0.8466153491079724+0.3254764435868973j),(0.7425550104578547+0.8316490526031413j),(0.6118491582946265+0.19482563306043688j),(0.7637159677459338+0.4247271938846233j),(0.1789044090080587+0.9854882922406908j),(0.8506141441811389+0.8300929523475744j),(0.9332374395021925+0.4401534918066571j),(0.5154225710285075+0.7631689368213344j),(0.9868114560054411+0.6123765509903188j),(0.11740419012859593+0.7495855513792343j),(0.42878410835543623+0.5274146394698754j),(0.9573486775347366+0.017927950752775867j),(0.31283231511455023+0.6718028743698837j),(0.25945487937243805+0.1275461745754376j),(0.6463025955063244+0.7015251936348458j),(0.11211626381936424+0.7291989027763588j),(0.22723012452997593+0.2865962245049435j),(0.8987031691811938+0.3484308852632356j),(0.9213955059883818+0.24826227311479387j),(0.7858838350041022+0.0739030604566383j),(0.5394385983792092+0.07694207211564463j),(0.9903828653709+0.24448271739007366j),(0.74644359178221+0.6449252854476588j),(0.7180738855903025+0.599697592096234j),(0.949082937811768+0.7985602196915811j),(0.05914641107121654+0.8735750798560789j),(0.3120053199513253+0.5486006023444139j),(0.7916408378801644+0.15327285195136964j),(0.9472066335896641+0.476337526565777j),(0.3616087665502884+0.010716202632462979j),(0.35915424298909704+0.9829698964999916j),(0.2749459028388709+0.787919587570402j)
7,(0.059040646946242004-0.0996246936919094j),(0.45469357761634444-0.35646533180528683j),(0.3380206756753179-0.5094733504755268j),(0.01634533935065874-0.12295245637366548j),(0.23705013614338466-0.38515491786570066j),(0.8834497864920212-0.6313084427628447j),(0.35854401356418286-0.04851553788100349j),(0.4220585223663361+0j),(0.2776648949618056+0.08737541516826397j),(0.9925531634149503+0.08405776684090838j),(0.43237070881244766+0.989868714130488j),(0.3191038912981614+0.6172099965865712j),(0.3584519650353778+0.7863995709068128j),(0.6441575363626216+0.19839058155336053j),(0.46829388259434057+0.4913735399623438j),(0.1702533368239013+0.34218398240071624j),(0.4664350893931779+0.7015544061684817j),(0.19171184689573162+0.007913893625684842j),(0.3379423056790074+0.8722866391392037j),(0.4936583630648823+0.7006037018224518j),(0.7746934262485493+0.2356976726884097j),(0.6063875215537206+0.8657734890763121j),(0.12270645278538617+0.8388771453526493j),(0.8453040668941948+0.1584887523221009j),(0.9957800603842698+0.9064225786492361j),(0.6096518924351448+0.6253859526086132j),(0.24662802282174912+0.2676918773597251j),(0.09007724026027986+0.21131288849536278j),(0.9647265970379938+0.39330450169746056j),(0.8744049107225789+0.05939013243271796j),(0.08937634908476833+0.24699719713097423j),(0.741621785808192+0.32119955897207375j),(0.2660569914051669+0.1917865471342486j),(0.19463267586525845+0.2616528401954822j),(0.8253947864642182+0.626913390386598j),(0.184589770004278+0.7470975351283771j),(0.816728714669689+0.5157460743665742j),(0.01354381696720941+0.575356683245518j),(0.3232868878076456+0.5079722998177989j),(0.6486071159061769+0.083128358578193j),(0.34510213334121964+0.5493372847661505j),(0.2987469939231283+0.5653090935371895j),(0.22917448852795974+0.5219992856757026j),(0.8515330875470842+0.8307927743827581j),(0.04523209463814981+0.8478653082493675j),(0.26151527601762814+0.05129402755179602j),(0.7881692203235162+0.27145768356014666j),(0.8218306071606647+0.30430751330907746j),(0.5574412189178168+0.08583439678826787j),(0.3004057413100789+0.029871118851931167j)
8,(0.8177992030790799-0.37015977185573545j),(0.6452924207549973-0.7145327084828682j),(0.03726422406101637-0.7763031546752334j),(0.5695383905124671-0.184138021541966j),(0.41797047366043916-0.4642993728743954j),(0.8296682528006086-0.7250590714906069j),(0.6589224888025295-0.8697397670366509j),(0.2776648949618056-0.08737541516826397j),(0.21413793257735436+0j),(0.7189646474724638+0.21659199598387058j),(0.10245906625391521+0.45779517298367756j),(0.536153758465709+0.2252085492371575j),(0.6444202621268899+0.17611267479883652j),(0.28382008548453297+0.8835104539077218j),(0.15275332851224233+0.41291805399700143j),(0.7401967999880658+0.7744396581879303j),(0.9048847613695156+0.4166488222086032j),(0.2754693047150687+0.7984597570503681j),(0.3358975285664194+0.5075850099511601j),(0.5268913941304361+0.10631328783301319j),(0.7511994643682113+0.8426100444806538j),(0.9052628713483573+0.7332008940596153j),(0.8692754149365371+0.576184020636235j),(0.3001621588012039+0.4509359671398606j),(0.06033755317656775+0.5350134851787108j),(0.15081907248282123+0.6958305474054536j),(0.9151887462217829+0.5085205376317359j),(0.5861945773956848+0.7482393349273975j),(0.2806739028073304+0.17443666229414656j),(0.28639769607591514+0.48279770022502644j),(0.5460020451163982+0.5413894153682975j),(0.868787090632157+0.6769606978124617j),(0.09202283614399986+0.5689043451949544j),(0.8256560179979257+0.7254029963382481j),(0.6025302147500657+0.5548900591787492j),(0.8561863245815857+0.12532442955274237j),(0.9360378322924884+0.7896331322729185j),(0.052193417460161595+0.8870145148549943j),(0.10522742675314956+0.22560454664569107j),(0.9221363408953593+0.9451799993244557j),(0.8259676485094937+0.9257919473253302j),(0.08252239466133571+0.08773921156303732j),(0.972667667476198+0.31815328370289175j),(0.5602102876049627+0.5734828901277842j),(0.3272057933059014+0.9408772015744091j),(0.8804834698317966+0.8932458394244017j),(0.7466893202956508+0.5050433696540669j),(0.08492140946796267+0.16987170919118422j),(0.49584900543491683+0.8604357523211342j),(0.7348850194335481+0.7125355202921347j)
9,(0.5797326843734711-0.3797181181495196j),(0.7881495033824922-0.3038114432635407j),(0.63371993210737-0.24509601424214456j),(0.306919877241436-0.9638412029802453j),(0.1810821436372746-0.530348493245348j),(0.048217357607194034-0.4456060270286355j),(0.4917248149691086-0.7234761667346795j),(0.9925531634149503-0.08405776684090838j),(0.7189646474724638-0.21659199598387058j),(0.6130533628327635+0j),(0.37669585136230865+0.6311646143545308j),(0.5071934338833668+0.34201311863877937j),(0.9254783265462815+0.9341877268652883j),(0.6886687006079871+0.6554580796876491j),(0.823662435706765+0.8430357688304171j),(0.07640629993488601+0.8314866902731897j),(0.11363967869662162+0.02791013034188705j),(0.4093951511450177+0.9037029648774628j),(0.844380158576053+0.04946398646883743j),(0.8863346542861975+0.5497727167004183j),(0.951105823875737+0.9968640181403148j),(0.08691972036563766+0.5635906862741706j),(0.7390319041920534+0.922370422438852j),(0.5636777905113671+0.7155006410890501j),(0.40837077327424365+0.2658989674170831j),(0.8961476842542603+0.3049444949884649j),(0.5945383735813705+0.48584866062316845j),(0.33893812163073944+0.90271387200204j),(0.26820331540081455+0.7193269006745198j),(0.8140838901866829+0.4347860595052264j),(0.24640497784371773+0.7798852459478749j),(0.7394177993270719+0.7054550197504261j),(0.4087881242583351+0.8962985333004788j),(0.7429348269954407+0.18022097596222386j),(0.623035123113516+0.2125419532627263j),(0.6717851043032458+0.47063132953414477j),(0.0924448700742172+0.7747170303096944j),(0.7865325446675686+0.19060827395190638j),(0.8339553116865274+0.8316199176677853j),(0.7593048083858999+0.8896274005074719j),(0.04418609232329074+0.5424240090850335j),(0.3758782277625352+0.9094429054287078j),(0.17182634501263916+0.3160303540891839j),(0.5982568131825561+0.7581947890622317j),(0.6077789887104501+0.4106122307496667j),(0.33080966327775707+0.24385319616560952j),(0.7774795425944927+0.21456633649128043j),(0.6679064552500378+0.46932647138866734j),(0.2092106160931474+0.4895556102477663j),(0.7449977811569402+0.9513119750492715j)
